playerName,teamId,position,pass_rush_snaps
Ryan Nelson,4400,T,47
Samuel Womack,2200,CB,28
Sanoussi Kane,0325,SS,34
Scott Matlock,4400,FB,29
Scotty Washington,0325,TE,21
Sean McKeon,2200,TE,10
Segun Olubi,2200,MLB,32
Shane Zylstra,1540,TE,15
Solomon DeShields,2200,LB,5
Stevo Klotz,4400,TE,14
T.J. Tampa,0325,CB,75
Tanor Bortolini,2200,C,34
TeRah Edwards,4400,DT,15
Teddye Buchanan,0325,LB,36
Tim Smith,2200,DT,22
Tom Kennedy,1540,WR,22
Tony Jefferson,4400,SS,13
Tre Harris,4400,WR,21
Tre Herndon,2200,CB,19
Tre'Mon Morris-Brash,4400,ILB,26
Trenton Simpson,0325,ILB,31
Trevor Nowaske,1540,ILB,26
Trey Lance,4400,QB,43
Trey Pipkins,4400,T,11
Trey Washington,2200,DB,28
Trikweze Bridges,4400,DB,26
Troy Dye,4400,ILB,10
Trystan Colon,1540,C,17
Tucker Fisk,4400,TE,30
Tylan Wallace,0325,WR,9
Tyler Goodson,2200,RB,14
Tyler Kahmann,2200,WR,4
Tyler Warren,2200,TE,17
Tyson Russell,1540,DB,33
Ulysses Bentley IV,2200,RB,18
Wesley French,2200,C,23
Will Dissly,4400,TE,4
Will Mallory,2200,TE,22
William Kwenkeu,0325,ILB,9
Xavier Guillory,0325,WR,12
Zach Cunningham,1540,ILB,15
Zach Horton,1540,TE,21
Zaire Mitchell-Paden,0325,TE,31
Zion Johnson,4400,G,11
