gameId,week,nflPlayId,nflPlayType,nflPlayDescription,nflPlayUrl
2025002,1,2270,PASS,"(:58) (No Huddle, Shotgun) D.Jones pass short middle to A.Dulin ran ob at BAL 41 for 21 yards (T.Tampa).",https://pro.nfl.com/api/plays/summaryPlay?gameId=7af5b339-3ca3-11f0-b670-ae1250fadad1&playId=2270
2025002,1,2300,PASS,(:51) (Shotgun) D.Jones pass incomplete deep right to W.Mallory (B.Brade).,https://pro.nfl.com/api/plays/summaryPlay?gameId=7af5b339-3ca3-11f0-b670-ae1250fadad1&playId=2300
2025002,1,2323,PASS,(:45) (Shotgun) D.Jones pass short middle to A.Gould to BAL 33 for 8 yards (J.Armour-Davis).,https://pro.nfl.com/api/plays/summaryPlay?gameId=7af5b339-3ca3-11f0-b670-ae1250fadad1&playId=2323
2025002,1,2348,PASS,"(:25) (No Huddle, Shotgun) D.Jones pass incomplete short right to A.Dulin.",https://pro.nfl.com/api/plays/summaryPlay?gameId=7af5b339-3ca3-11f0-b670-ae1250fadad1&playId=2348
2025002,1,2371,FIELD_GOAL,"(:20) S.Shrader 52 yard field goal is No Good, Hit Left Upright, Center-L.Rhodes, Holder-R.Sanchez.",https://pro.nfl.com/api/plays/summaryPlay?gameId=7af5b339-3ca3-11f0-b670-ae1250fadad1&playId=2371
2025002,1,2392,SACK,"(:15) (Shotgun) D.Leary sacked at BAL 34 for -8 yards (J.Tuimoloau). FUMBLES (J.Tuimoloau) [J.Tuimoloau], touched at BAL 40, recovered by BAL-B.Cleveland at BAL 37.",https://pro.nfl.com/api/plays/summaryPlay?gameId=7af5b339-3ca3-11f0-b670-ae1250fadad1&playId=2392
2025002,1,2422,END_QUARTER,END QUARTER 2,https://pro.nfl.com/api/plays/summaryPlay?gameId=7af5b339-3ca3-11f0-b670-ae1250fadad1&playId=2422
2025002,1,2442,KICK_OFF,"T.Loop kicks 65 yards from BAL 35 to IND 0. K.Herbert to IND 34 for 34 yards (K.Martin).
PENALTY on IND-S.DeShields, Offensive Holding, 10 yards, enforced at IND 31.",https://pro.nfl.com/api/plays/summaryPlay?gameId=7af5b339-3ca3-11f0-b670-ae1250fadad1&playId=2442
2025002,1,2476,RUSH,(14:51) (Shotgun) K.Herbert left end to IND 24 for 3 yards (C.Ravenell).,https://pro.nfl.com/api/plays/summaryPlay?gameId=7af5b339-3ca3-11f0-b670-ae1250fadad1&playId=2476
2025002,1,2498,PASS,(14:17) (Shotgun) R.Leonard pass incomplete short right to C.Owen (K.Martin).,https://pro.nfl.com/api/plays/summaryPlay?gameId=7af5b339-3ca3-11f0-b670-ae1250fadad1&playId=2498
2025002,1,2521,RUSH,(14:13) (Shotgun) R.Leonard scrambles right end to IND 32 for 8 yards (K.Martin; B.Brade).,https://pro.nfl.com/api/plays/summaryPlay?gameId=7af5b339-3ca3-11f0-b670-ae1250fadad1&playId=2521
2025002,1,2543,RUSH,"(13:45) (No Huddle, Shotgun) R.Leonard left tackle to IND 36 for 4 yards (J.Jones).",https://pro.nfl.com/api/plays/summaryPlay?gameId=7af5b339-3ca3-11f0-b670-ae1250fadad1&playId=2543
2025002,1,2565,PASS,(13:10) (Shotgun) R.Leonard pass short middle to J.Woods to 50 for 14 yards (B.Brade).,https://pro.nfl.com/api/plays/summaryPlay?gameId=7af5b339-3ca3-11f0-b670-ae1250fadad1&playId=2565
2025002,1,2590,RUSH,(12:30) (Shotgun) K.Herbert right end to BAL 49 for 1 yard (B.Okoye; J.Jones).,https://pro.nfl.com/api/plays/summaryPlay?gameId=7af5b339-3ca3-11f0-b670-ae1250fadad1&playId=2590
2025002,1,2612,PASS,(11:56) (Shotgun) R.Leonard pass incomplete short middle to L.Treadwell (W.Kwenkeu).,https://pro.nfl.com/api/plays/summaryPlay?gameId=7af5b339-3ca3-11f0-b670-ae1250fadad1&playId=2612
2025002,1,2635,PASS,(11:53) (Shotgun) R.Leonard pass incomplete short right to L.Treadwell (A.Peebles).,https://pro.nfl.com/api/plays/summaryPlay?gameId=7af5b339-3ca3-11f0-b670-ae1250fadad1&playId=2635
2025002,1,2658,PUNT,"(11:48) R.Sanchez punts 43 yards to BAL 6, Center-L.Rhodes, fair catch by A.Miller.",https://pro.nfl.com/api/plays/summaryPlay?gameId=7af5b339-3ca3-11f0-b670-ae1250fadad1&playId=2658
2025002,1,2690,TIMEOUT,Timeout at 11:41.,https://pro.nfl.com/api/plays/summaryPlay?gameId=7af5b339-3ca3-11f0-b670-ae1250fadad1&playId=2690
2025002,1,2678,PENALTY,"(11:41) PENALTY on BAL-Z.Mitchell-Paden, False Start, 3 yards, enforced at BAL 6 - No Play.",https://pro.nfl.com/api/plays/summaryPlay?gameId=7af5b339-3ca3-11f0-b670-ae1250fadad1&playId=2678
2025002,1,2709,RUSH,(11:41) D.Johnson up the middle to BAL 5 for 2 yards (D.Little).,https://pro.nfl.com/api/plays/summaryPlay?gameId=7af5b339-3ca3-11f0-b670-ae1250fadad1&playId=2709
2025002,1,2731,PASS,(11:07) D.Leary pass incomplete short middle to A.Miller (J.Tuimoloau) [J.Tuimoloau].,https://pro.nfl.com/api/plays/summaryPlay?gameId=7af5b339-3ca3-11f0-b670-ae1250fadad1&playId=2731
2025002,1,2754,PASS,(11:03) (Shotgun) D.Leary pass incomplete deep left to L.Wester.,https://pro.nfl.com/api/plays/summaryPlay?gameId=7af5b339-3ca3-11f0-b670-ae1250fadad1&playId=2754
2025002,1,2777,PUNT,"(10:58) J.Stout punts 63 yards to IND 32, Center-N.Moore. C.Owen to IND 46 for 14 yards (B.Brade).",https://pro.nfl.com/api/plays/summaryPlay?gameId=7af5b339-3ca3-11f0-b670-ae1250fadad1&playId=2777
2025002,1,2815,TIMEOUT,Timeout at 10:46.,https://pro.nfl.com/api/plays/summaryPlay?gameId=7af5b339-3ca3-11f0-b670-ae1250fadad1&playId=2815
2025002,1,2803,PASS,(10:46) (Shotgun) R.Leonard pass deep right to L.Treadwell to BAL 30 for 24 yards (W.Kwenkeu).,https://pro.nfl.com/api/plays/summaryPlay?gameId=7af5b339-3ca3-11f0-b670-ae1250fadad1&playId=2803
2025002,1,2852,TIMEOUT,Timeout #1 by BAL at 10:16.,https://pro.nfl.com/api/plays/summaryPlay?gameId=7af5b339-3ca3-11f0-b670-ae1250fadad1&playId=2852
2025002,1,2840,PENALTY,"(10:16) (Shotgun) PENALTY on IND-J.Woods, False Start, 5 yards, enforced at BAL 30 - No Play.",https://pro.nfl.com/api/plays/summaryPlay?gameId=7af5b339-3ca3-11f0-b670-ae1250fadad1&playId=2840
2025002,1,2871,RUSH,"(10:16) (Shotgun) K.Herbert left guard to BAL 32 for 3 yards (K.Rucker, C.Martin).",https://pro.nfl.com/api/plays/summaryPlay?gameId=7af5b339-3ca3-11f0-b670-ae1250fadad1&playId=2871
2025002,1,2893,PASS,(9:43) (Shotgun) R.Leonard pass short middle to C.Owen to BAL 26 for 6 yards (J.Higgins).,https://pro.nfl.com/api/plays/summaryPlay?gameId=7af5b339-3ca3-11f0-b670-ae1250fadad1&playId=2893
2025002,1,2918,RUSH,(9:05) (Shotgun) R.Leonard scrambles left end pushed ob at BAL 5 for 21 yards (R.Lowery; T.Tampa).,https://pro.nfl.com/api/plays/summaryPlay?gameId=7af5b339-3ca3-11f0-b670-ae1250fadad1&playId=2918
2025002,1,2945,RUSH,(8:28) (Shotgun) K.Herbert up the middle to BAL 3 for 2 yards (K.Rucker; B.Okoye).,https://pro.nfl.com/api/plays/summaryPlay?gameId=7af5b339-3ca3-11f0-b670-ae1250fadad1&playId=2945
2025002,1,2967,RUSH,(7:51) (Shotgun) K.Herbert right tackle to BAL 1 for 2 yards (A.Peebles).,https://pro.nfl.com/api/plays/summaryPlay?gameId=7af5b339-3ca3-11f0-b670-ae1250fadad1&playId=2967
